2025-12-01 15:38:31,003 - Unhandled exception in listener callback
Traceback (most recent call last):
  File "/home/Hai/Documents/LIA/venv/lib/python3.11/site-packages/pynput/_util/__init__.py", line 230, in inner
    return f(self, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/Hai/Documents/LIA/venv/lib/python3.11/site-packages/pynput/_util/xorg.py", line 472, in _handler
    self._handle_message(self._display_stop, event, injected)
  File "/home/Hai/Documents/LIA/venv/lib/python3.11/site-packages/pynput/keyboard/_xorg.py", line 578, in _handle_message
    self.on_press(key, injected)
  File "/home/Hai/Documents/LIA/venv/lib/python3.11/site-packages/pynput/_util/__init__.py", line 146, in inner
    if f(*args) is False:
       ^^^^^^^^
  File "/home/Hai/Documents/LIA/venv/lib/python3.11/site-packages/pynput/_util/__init__.py", line 291, in <lambda>
    return lambda *a: f(*a[:actual])
                      ^^^^^^^^^^^^^^
  File "/home/Hai/Documents/LIA/controller.py", line 227, in on_press
    client.publish("robot/manual movement", "stop")
    ^^^^^^
NameError: name 'client' is not defined
2025-12-01 17:10:33,619 - Received: robot/behaviour/drive = forward
2025-12-01 17:10:33,621 - Received: robot/behaviour/drive = stop
2025-12-01 17:10:38,622 - Received: robot/behaviour/drive = forward
2025-12-01 17:10:38,623 - Received: robot/behaviour/drive = stop
2025-12-01 17:10:43,623 - Received: robot/behaviour/drive = forward
2025-12-01 17:10:43,624 - Received: robot/behaviour/drive = stop
2025-12-01 17:10:48,624 - Received: robot/behaviour/drive = forward
2025-12-01 17:10:48,624 - Received: robot/behaviour/drive = stop
2025-12-01 17:10:53,625 - Received: robot/behaviour/drive = forward
2025-12-01 17:10:53,626 - Received: robot/behaviour/drive = stop
2025-12-01 17:10:58,626 - Received: robot/behaviour/drive = forward
2025-12-01 17:10:58,627 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:03,629 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:03,630 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:08,628 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:08,630 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:13,630 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:13,631 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:18,633 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:18,634 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:23,635 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:23,635 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:28,636 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:28,637 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:30,839 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:30,840 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:35,838 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:35,839 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:40,842 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:40,843 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:45,841 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:45,842 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:50,843 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:50,844 - Received: robot/behaviour/drive = stop
2025-12-01 17:11:55,845 - Received: robot/behaviour/drive = forward
2025-12-01 17:11:55,845 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:00,847 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:00,848 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:05,847 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:05,848 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:10,850 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:10,851 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:15,852 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:15,854 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:20,854 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:20,855 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:25,857 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:25,858 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:30,858 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:30,859 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:35,859 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:35,859 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:40,859 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:40,860 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:45,862 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:45,864 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:50,865 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:50,866 - Received: robot/behaviour/drive = stop
2025-12-01 17:12:56,825 - Received: robot/behaviour/drive = forward
2025-12-01 17:12:56,827 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:01,825 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:01,826 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:06,828 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:06,830 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:11,830 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:11,831 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:16,830 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:16,831 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:21,831 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:21,832 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:26,834 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:26,835 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:31,836 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:31,837 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:36,839 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:36,840 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:41,837 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:41,838 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:46,838 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:46,838 - Received: robot/behaviour/drive = stop
2025-12-01 17:13:51,295 - Received: robot/behaviour/drive = forward
2025-12-01 17:13:56,299 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:01,300 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:06,305 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:11,305 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:16,306 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:21,307 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:26,309 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:28,550 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:28,560 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:31,314 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:31,315 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:33,555 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:33,558 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:36,313 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:36,316 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:38,556 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:38,558 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:41,313 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:41,315 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:43,559 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:43,563 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:46,317 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:46,319 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:48,567 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:48,571 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:51,318 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:51,321 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:53,571 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:53,575 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:56,319 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:56,322 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:58,577 - Received: robot/behaviour/drive = forward
2025-12-01 17:14:58,581 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:01,321 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:01,322 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:03,579 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:03,581 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:06,323 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:06,325 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:08,583 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:08,586 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:11,324 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:11,325 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:13,593 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:13,595 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:16,324 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:16,326 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:18,596 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:18,597 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:21,325 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:21,326 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:23,596 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:23,600 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:26,327 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:26,331 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:28,600 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:28,604 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:31,328 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:31,330 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:33,606 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:33,607 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:36,331 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:36,334 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:38,609 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:38,613 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:41,332 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:41,335 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:43,614 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:43,618 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:46,334 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:46,336 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:48,619 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:48,621 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:51,335 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:51,339 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:53,620 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:53,621 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:56,337 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:56,341 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:58,623 - Received: robot/behaviour/drive = forward
2025-12-01 17:15:58,626 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:01,340 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:01,347 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:03,623 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:03,625 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:06,341 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:06,343 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:08,625 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:08,630 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:11,342 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:11,344 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:13,636 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:13,641 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:16,348 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:16,348 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:18,636 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:18,637 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:21,344 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:21,345 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:23,639 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:23,643 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:26,346 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:26,349 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:28,643 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:28,644 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:31,347 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:31,349 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:33,647 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:33,651 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:36,349 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:36,353 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:38,649 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:38,650 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:41,349 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:41,351 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:43,655 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:43,656 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:46,354 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:46,355 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:48,656 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:48,659 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:51,353 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:51,357 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:53,659 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:53,662 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:56,356 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:56,357 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:58,661 - Received: robot/behaviour/drive = forward
2025-12-01 17:16:58,663 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:01,355 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:01,357 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:03,664 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:03,665 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:06,358 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:06,362 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:08,664 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:08,665 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:11,358 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:11,361 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:13,667 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:13,672 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:16,360 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:16,365 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:18,672 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:18,676 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:21,364 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:21,367 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:23,676 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:23,681 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:26,364 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:26,367 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:28,685 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:28,687 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:31,366 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:31,369 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:33,688 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:33,691 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:36,367 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:36,370 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:38,691 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:38,695 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:41,368 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:41,372 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:43,697 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:43,698 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:46,371 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:46,373 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:48,696 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:48,699 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:51,372 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:51,376 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:53,700 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:53,702 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:56,374 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:56,378 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:58,703 - Received: robot/behaviour/drive = forward
2025-12-01 17:17:58,706 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:01,376 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:01,379 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:01,562 - Received: robot = asdfe
2025-12-01 17:18:01,566 - Received: robot = asdfe
2025-12-01 17:18:03,704 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:03,705 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:06,075 - Received: robot = asdfe
2025-12-01 17:18:06,076 - Received: robot = asdfe
2025-12-01 17:18:06,355 - Received: robot = asdfe
2025-12-01 17:18:06,356 - Received: robot = asdfe
2025-12-01 17:18:06,378 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:06,382 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:06,566 - Received: robot = asdfe
2025-12-01 17:18:06,574 - Received: robot = asdfe
2025-12-01 17:18:06,762 - Received: robot = asdfe
2025-12-01 17:18:06,766 - Received: robot = asdfe
2025-12-01 17:18:06,943 - Received: robot = asdfe
2025-12-01 17:18:06,947 - Received: robot = asdfe
2025-12-01 17:18:07,111 - Received: robot = asdfe
2025-12-01 17:18:07,114 - Received: robot = asdfe
2025-12-01 17:18:07,291 - Received: robot = asdfe
2025-12-01 17:18:07,294 - Received: robot = asdfe
2025-12-01 17:18:07,483 - Received: robot = asdfe
2025-12-01 17:18:07,484 - Received: robot = asdfe
2025-12-01 17:18:07,659 - Received: robot = asdfe
2025-12-01 17:18:07,660 - Received: robot = asdfe
2025-12-01 17:18:07,835 - Received: robot = asdfe
2025-12-01 17:18:07,836 - Received: robot = asdfe
2025-12-01 17:18:08,020 - Received: robot = asdfe
2025-12-01 17:18:08,021 - Received: robot = asdfe
2025-12-01 17:18:08,707 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:08,707 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:11,380 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:11,382 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:13,710 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:13,712 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:16,380 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:16,381 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:18,253 - Received: robot = asdfe
2025-12-01 17:18:18,255 - Received: robot = asdfe
2025-12-01 17:18:18,477 - Received: robot = asdfe
2025-12-01 17:18:18,478 - Received: robot = asdfe
2025-12-01 17:18:18,677 - Received: robot = asdfe
2025-12-01 17:18:18,678 - Received: robot = asdfe
2025-12-01 17:18:18,713 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:18,723 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:18,857 - Received: robot = asdfe
2025-12-01 17:18:18,858 - Received: robot = asdfe
2025-12-01 17:18:19,011 - Received: robot = asdfe
2025-12-01 17:18:19,018 - Received: robot = asdfe
2025-12-01 17:18:19,175 - Received: robot = asdfe
2025-12-01 17:18:19,177 - Received: robot = asdfe
2025-12-01 17:18:19,332 - Received: robot = asdfe
2025-12-01 17:18:19,335 - Received: robot = asdfe
2025-12-01 17:18:19,486 - Received: robot = asdfe
2025-12-01 17:18:19,489 - Received: robot = asdfe
2025-12-01 17:18:19,637 - Received: robot = asdfe
2025-12-01 17:18:19,639 - Received: robot = asdfe
2025-12-01 17:18:19,781 - Received: robot = asdfe
2025-12-01 17:18:19,782 - Received: robot = asdfe
